F_INFO_WINDCODE,PRICE_DATE,F_NAV_UNIT,F_NAV_ACCUMULATED,F_NAV_ADJUSTED,IS_EXDIVIDENDDATE,F_NAV_DISTRIBUTION
510050.SH,20180331,2.71700000,3.68800000,4.04749960,0,0.3980
510050.SH,20180402,2.70600000,3.67500000,4.03111297,0,0.3980
510050.SH,20180403,2.69200000,3.65800000,4.01025724,0,0.3980
510050.SH,20180404,2.69700000,3.66400000,4.01770572,0,0.3980
510050.SH,20180409,2.71000000,3.67900000,4.03707174,0,0.3980
510050.SH,20180410,2.77500000,3.75600000,4.13390188,0,0.3980
510050.SH,20180411,2.77900000,3.76100000,4.13986065,0,0.3980
510050.SH,20180412,2.74400000,3.72000000,4.08772135,0,0.3980
510050.SH,20180413,2.72000000,3.69100000,4.05196869,0,0.3980
510050.SH,20180416,2.65900000,3.61900000,3.96109733,0,0.3980
510050.SH,20180417,2.63000000,3.58500000,3.91789619,0,0.3980
510050.SH,20180418,2.64800000,3.60600000,3.94471069,0,0.3980
510050.SH,20180419,2.67600000,3.63900000,3.98642213,0,0.3980
510050.SH,20180420,2.64100000,3.59800000,3.93428283,0,0.3980
510050.SH,20180423,2.65900000,3.61900000,3.96109733,0,0.3980
510050.SH,20180424,2.71600000,3.68600000,4.04600991,0,0.3980
510050.SH,20180425,2.69600000,3.66300000,4.01621602,0,0.3980
510050.SH,20180426,2.66000000,3.62000000,3.96258702,0,0.3980
510050.SH,20180427,2.64700000,3.60500000,3.94322100,0,0.3980
510050.SH,20180502,2.64600000,3.60400000,3.94173130,0,0.3980
510050.SH,20180503,2.65700000,3.61700000,3.95811794,0,0.3980
510050.SH,20180504,2.64000000,3.59700000,3.93279314,0,0.3980
510050.SH,20180507,2.67700000,3.64000000,3.98791183,0,0.3980
510050.SH,20180508,2.71600000,3.68600000,4.04600991,0,0.3980
510050.SH,20180509,2.71000000,3.67900000,4.03707174,0,0.3980
510050.SH,20180510,2.72200000,3.69400000,4.05494808,0,0.3980
510050.SH,20180511,2.71700000,3.68800000,4.04749960,0,0.3980
510050.SH,20180514,2.74600000,3.72200000,4.09070074,0,0.3980
510050.SH,20180515,2.74300000,3.71800000,4.08623166,0,0.3980
510050.SH,20180516,2.70900000,3.67800000,4.03558205,0,0.3980
510050.SH,20180517,2.69400000,3.66000000,4.01323663,0,0.3980
510050.SH,20180518,2.73300000,3.70700000,4.07133471,0,0.3980
510050.SH,20180521,2.73800000,3.71300000,4.07878319,0,0.3980
510050.SH,20180522,2.72000000,3.69100000,4.05196869,0,0.3980
510050.SH,20180523,2.67600000,3.63900000,3.98642213,0,0.3980
510050.SH,20180524,2.65800000,3.61800000,3.95960764,0,0.3980
510050.SH,20180525,2.65800000,3.61800000,3.95960764,0,0.3980
510050.SH,20180528,2.67000000,3.63200000,3.97748397,0,0.3980
510050.SH,20180529,2.66000000,3.62000000,3.96258702,0,0.3980
510050.SH,20180530,2.60300000,3.55300000,3.87767445,0,0.3980
510050.SH,20180531,2.65500000,3.61400000,3.95513855,0,0.3980
510050.SH,20180601,2.64300000,3.60000000,3.93726222,0,0.3980
510050.SH,20180604,2.68800000,3.65300000,4.00429847,0,0.3980
510050.SH,20180605,2.70200000,3.67000000,4.02515419,0,0.3980
510050.SH,20180606,2.68700000,3.65200000,4.00280877,0,0.3980
510050.SH,20180607,2.69700000,3.66400000,4.01770572,0,0.3980
510050.SH,20180608,2.65900000,3.61900000,3.96109733,0,0.3980
510050.SH,20180611,2.66500000,3.62600000,3.97003550,0,0.3980
510050.SH,20180612,2.69300000,3.65900000,4.01174694,0,0.3980
510050.SH,20180613,2.67700000,3.64000000,3.98791183,0,0.3980
510050.SH,20180614,2.67700000,3.64000000,3.98791183,0,0.3980
510050.SH,20180615,2.68300000,3.64700000,3.99684999,0,0.3980
510050.SH,20180619,2.61500000,3.56700000,3.89555078,0,0.3980
510050.SH,20180620,2.61500000,3.56700000,3.89555078,0,0.3980
510050.SH,20180621,2.59600000,3.54400000,3.86724658,0,0.3980
510050.SH,20180622,2.60100000,3.55000000,3.87469506,0,0.3980
510050.SH,20180625,2.55400000,3.49500000,3.80467942,0,0.3980
510050.SH,20180626,2.52400000,3.45900000,3.75998859,0,0.3980
510050.SH,20180627,2.47000000,3.39500000,3.67954509,0,0.3980
510050.SH,20180628,2.44400000,3.36400000,3.64081304,0,0.3980
510050.SH,20180629,2.50100000,3.43200000,3.72572562,0,0.3980
510050.SH,20180630,2.50100000,3.43200000,3.72572562,0,0.3980
510050.SH,20180702,2.40900000,3.32300000,3.58867374,0,0.3980
510050.SH,20180703,2.41100000,3.32500000,3.59165313,0,0.3980
510050.SH,20180704,2.39100000,3.30200000,3.56185924,0,0.3980
510050.SH,20180705,2.39800000,3.31000000,3.57228710,0,0.3980
510050.SH,20180706,2.42600000,3.34300000,3.61399854,0,0.3980
510050.SH,20180709,2.49600000,3.42600000,3.71827715,0,0.3980
510050.SH,20180710,2.49600000,3.42600000,3.71827715,0,0.3980
510050.SH,20180711,2.45700000,3.38000000,3.66017907,0,0.3980
510050.SH,20180712,2.50700000,3.43900000,3.73466379,0,0.3980
510050.SH,20180713,2.51500000,3.44900000,3.74658134,0,0.3980
510050.SH,20180716,2.49100000,3.42000000,3.71082868,0,0.3980
510050.SH,20180717,2.47800000,3.40500000,3.69146265,0,0.3980
510050.SH,20180718,2.46900000,3.39400000,3.67805540,0,0.3980
510050.SH,20180719,2.47400000,3.40000000,3.68550387,0,0.3980
510050.SH,20180720,2.54300000,3.48200000,3.78829278,0,0.3980
510050.SH,20180723,2.57500000,3.52000000,3.83596300,0,0.3980
510050.SH,20180724,2.61200000,3.56300000,3.89108169,0,0.3980
510050.SH,20180725,2.61200000,3.56300000,3.89108169,0,0.3980
510050.SH,20180726,2.57900000,3.52400000,3.84192178,0,0.3980
510050.SH,20180727,2.57400000,3.51800000,3.83447331,0,0.3980
510050.SH,20180730,2.59100000,3.53900000,3.85979811,0,0.3980
510050.SH,20180731,2.59400000,3.54200000,3.86426720,0,0.3980
510050.SH,20180801,2.53900000,3.47700000,3.78233401,0,0.3980
510050.SH,20180802,2.48800000,3.41700000,3.70635959,0,0.3980
510050.SH,20180803,2.46100000,3.38500000,3.66613784,0,0.3980
510050.SH,20180806,2.45300000,3.37500000,3.65422029,0,0.3980
