TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_COMMENT
financedata,chinaetfpchredmmembers,11,OPDATE,date,YES,MUL,
financedata,chinaetfpchredmmembers,12,OPMODE,varchar(1),YES,,
financedata,chinamutualfundbenchmarkeod,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinamutualfundbenchmarkeod,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinamutualfundbenchmarkeod,3,TRADE_DT,varchar(8),YES,MUL,
financedata,chinamutualfundbenchmarkeod,4,S_DQ_CLOSE,"decimal(20,8)",YES,,
financedata,chinamutualfundbenchmarkeod,5,S_DQ_PCTCHANGE,"decimal(20,8)",YES,,
financedata,chinamutualfundbenchmarkeod,6,OPDATE,date,YES,MUL,
financedata,chinamutualfundbenchmarkeod,7,OPMODE,varchar(1),YES,,
financedata,chinamutualfunddescription,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinamutualfunddescription,2,F_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinamutualfunddescription,3,F_INFO_FRONT_CODE,varchar(40),YES,,
financedata,chinamutualfunddescription,4,F_INFO_BACKEND_CODE,varchar(40),YES,,
financedata,chinamutualfunddescription,5,F_INFO_FULLNAME,varchar(100),YES,,
financedata,chinamutualfunddescription,6,F_INFO_NAME,varchar(100),YES,MUL,
financedata,chinamutualfunddescription,7,F_INFO_CORP_FUNDMANAGEMENTCOMP,varchar(100),YES,,
financedata,chinamutualfunddescription,8,F_INFO_CUSTODIANBANK,varchar(100),YES,,
financedata,chinamutualfunddescription,9,F_INFO_FIRSTINVESTTYPE,varchar(40),YES,,
financedata,chinamutualfunddescription,10,F_INFO_SETUPDATE,varchar(8),YES,,
financedata,chinamutualfunddescription,11,F_INFO_MATURITYDATE,varchar(8),YES,,
financedata,chinamutualfunddescription,12,F_ISSUE_TOTALUNIT,"decimal(26,10)",YES,,
